Year,Month,Month_Num,Rainfall_mm,Avg_Temp,Max_Temp
2010,Jan,1,57.21,20.24,22.32
2010,Feb,2,39.97,19.95,22.3
2010,Mar,3,20.55,19.75,21.41
2010,Apr,4,23.36,20.1,21.67
2010,May,5,2.99,20.18,21.64
2010,Jun,6,1.33,21.13,21.84
2010,Jul,7,0.78,22.02,23.06
2010,Aug,8,2.22,23.21,24.26
2010,Sep,9,48.86,23.7,24.48
2010,Oct,10,3.88,23.47,24.89
2010,Nov,11,70.53,22.4,23.59
2010,Dec,12,33.69,21.16,23.8
2011,Jan,1,32.94,19.46,21.42
2011,Feb,2,4.46,19,19.91
2011,Mar,3,6.76,18.29,20.07
2011,Apr,4,7.79,18.95,20.12
2011,May,5,2.66,19.67,20.82
2011,Jun,6,2.99,20.64,21.74
2011,Jul,7,7.95,21.77,22.83
2011,Aug,8,9.73,22.91,24.02
2011,Sep,9,14.52,23.91,24.79
2011,Oct,10,48.8,23.55,24.79
2011,Nov,11,36.21,21.99,23.76
2011,Dec,12,6.76,20.81,22.05
2012,Jan,1,11.95,19.36,20.6
2012,Feb,2,17.36,18.23,19.4
2012,Mar,3,5.8,18.25,19.78
2012,Apr,4,7.69,18.77,20.16
2012,May,5,12.3,20.42,22.14
2012,Jun,6,0,22.71,24.22
2012,Jul,7,0.86,22.99,24.44
2012,Aug,8,1.54,23.99,25.43
2012,Sep,9,2.29,24.82,26.15
2012,Oct,10,65.17,23.99,26.15
2012,Nov,11,48.39,22.21,24.84
2012,Dec,12,18.54,20.71,22.13
2013,Jan,1,14.11,19.69,21.06
2013,Feb,2,20.17,19.13,20.49
2013,Mar,3,18.42,19.5,20.97
2013,Apr,4,5.6,19.9,22.04
2013,May,5,5.54,20.39,22.21
2013,Jun,6,2.4,20.95,22.11
2013,Jul,7,1.57,22.13,24.1
2013,Aug,8,1.81,23.26,24.41
2013,Sep,9,11.7,23.49,25.25
2013,Oct,10,9.98,23.25,25.25
2013,Nov,11,53.52,22.02,23.26
2013,Dec,12,38.18,20.83,23.23
2014,Jan,1,11.92,19.34,20.36
2014,Feb,2,3.65,18.44,20.32
2014,Mar,3,6.28,18.34,19.66
2014,Apr,4,13.36,19.23,20.27
2014,May,5,2.36,19.92,20.96
2014,Jun,6,2.61,21.2,22.52
2014,Jul,7,0.8,22.68,24.8
2014,Aug,8,1.33,24,24.82
2014,Sep,9,16.95,24.45,25.8
2014,Oct,10,15.06,23.48,25.8
2014,Nov,11,18.66,21.89,23.37
2014,Dec,12,39.99,20.29,21.68
2015,Jan,1,7.68,18.94,20.6
2015,Feb,2,19.72,18.2,19.4
2015,Mar,3,13.14,17.98,19.17
2015,Apr,4,2.54,18.36,20.23
2015,May,5,3.96,20.07,21.53
2015,Jun,6,1.43,21.12,23.28
2015,Jul,7,1.07,23.22,24.68
2015,Aug,8,13.86,24.12,25.83
2015,Sep,9,8.11,24.7,26.33
2015,Oct,10,27.99,23.63,26.33
2015,Nov,11,16.09,22.43,23.76
2015,Dec,12,4.57,21.06,22.78
2016,Jan,1,19.11,20.4,22.4
2016,Feb,2,27.66,19.32,20.85
2016,Mar,3,6.27,18.77,19.96
2016,Apr,4,5.23,19.41,21.39
2016,May,5,1.63,20.12,21.47
2016,Jun,6,1.74,22.16,23.69
2016,Jul,7,2.93,22.39,23.25
2016,Aug,8,2.27,23.39,24.4
2016,Sep,9,3.42,23.77,24.45
2016,Oct,10,21.45,23.21,24.45
2016,Nov,11,31.52,21.63,23.13
2016,Dec,12,24.13,20.56,22.57
2017,Jan,1,21.95,19.42,20.89
2017,Feb,2,6.16,19.13,20.23
2017,Mar,3,6.31,18.72,19.81
2017,Apr,4,8,19.75,21.62
2017,May,5,6.35,20.77,22.29
2017,Jun,6,1,21.95,22.95
2017,Jul,7,0.41,22.71,23.53
2017,Aug,8,4.52,23.47,24.47
2017,Sep,9,9.12,23.63,24.21
2017,Oct,10,17.32,23.26,24.21
2017,Nov,11,35.55,22.45,23.76
2017,Dec,12,13.7,20.98,22.55
2018,Jan,1,4.52,19.65,20.85
2018,Feb,2,13.2,18.57,19.92
2018,Mar,3,9.22,19,20.1
2018,Apr,4,1.32,18.92,20.21
2018,May,5,2.78,19.3,20.18
2018,Jun,6,2.77,20.75,22.84
2018,Jul,7,0.67,22.28,23.67
2018,Aug,8,1.36,23.46,24.17
2018,Sep,9,3.86,23.68,24.77
2018,Oct,10,44.44,23.31,24.77
2018,Nov,11,15.36,21.48,23.37
2018,Dec,12,14.23,20.76,21.95
2019,Jan,1,11.95,19.68,21.27
2019,Feb,2,12.25,19.17,20.52
2019,Mar,3,5.18,18.88,20.03
2019,Apr,4,9.38,19.02,20.05
2019,May,5,1.44,20.34,21.43
2019,Jun,6,1.18,21.36,23.53
2019,Jul,7,0.85,22.83,24.13
2019,Aug,8,1.03,24.12,25.34
2019,Sep,9,9.5,23.7,24.94
2019,Oct,10,4.9,23.33,24.94
2019,Nov,11,11.73,22.32,23.97
2019,Dec,12,7.18,21.07,22.3
2020,Jan,1,3.39,19.61,20.84
2020,Feb,2,7.72,19.76,21.26
2020,Mar,3,4.36,19.45,20.63
2020,Apr,4,4.67,19.94,21.32
2020,May,5,1.7,20.54,21.74
2020,Jun,6,18.8,21.82,23.04
2020,Jul,7,1.58,22.63,23.32
2020,Aug,8,0.67,23.58,24.44
2020,Sep,9,23.32,23.8,24.81
2020,Oct,10,15.18,23.39,24.81
2020,Nov,11,23.44,22.13,23.85
2020,Dec,12,21.22,20.44,21.79
2021,Jan,1,46.16,19.85,21.79
2021,Feb,2,2.73,19.13,20.59
2021,Mar,3,2.99,19.08,20.08
2021,Apr,4,8.34,20.19,21.91
2021,May,5,1.32,20.56,21.5
2021,Jun,6,11.88,21.25,22.41
2021,Jul,7,1.87,22.66,23.66
2021,Aug,8,0.93,23.64,25.25
2021,Sep,9,9.46,24.5,25.69
2021,Oct,10,0.85,23.26,25.69
2021,Nov,11,59.1,22.52,23.52
2021,Dec,12,6.01,20.73,22.06
2022,Jan,1,21.32,20.08,21.5
2022,Feb,2,8.62,19.5,20.83
2022,Mar,3,5.59,18.97,20.32
2022,Apr,4,6.63,19.45,20.69
2022,May,5,3.92,20.47,21.88
2022,Jun,6,3.51,21.42,22.55
2022,Jul,7,7.83,22.12,23.13
2022,Aug,8,4.21,23.02,23.84
2022,Sep,9,22.4,24.23,25.46
2022,Oct,10,7.57,23.42,25.46
2022,Nov,11,11.4,22.69,24.04
2022,Dec,12,16.3,21.88,23.32
2023,Jan,1,6.12,20.5,21.69
2023,Feb,2,2.11,19.06,21.16
2023,Mar,3,2.56,20.49,22.21
2023,Apr,4,3.14,20.77,22.94
2023,May,5,0.9,21.42,23.49
2023,Jun,6,15.59,22.98,24.58
2023,Jul,7,0.33,23.93,25.02
2023,Aug,8,6.01,24.9,25.87
2023,Sep,9,3.4,24.78,25.87
2023,Oct,10,10.17,25.35,25.87
2023,Nov,11,14.49,23.56,25.16
2023,Dec,12,9.74,22.3,23.5
2024,Jan,1,22.14,21.4,23.01
2024,Feb,2,11.35,21.18,22.37
2024,Mar,3,1.27,20.13,21.66
2024,Apr,4,3.26,20.77,22.06
2024,May,5,6.38,21.21,23.16
2024,Jun,6,4.11,22.43,23.62
2024,Jul,7,0.51,23.4,25.16
2024,Aug,8,0.5,24.36,25.14
2024,Sep,9,11.15,23.88,24.99
2024,Oct,10,9.82,23.82,24.99
2024,Nov,11,28.97,22.55,24.18
2024,Dec,12,25.42,21.67,23.54